Time,ID,Lat,Lon,Alt,SSID,MAC,Ferquency,Signal
"",Device ID: LMY47V
Sun Dec 10 19:02:00 IST 2017,,31.8973843,34.81646051,103.0,vilensky_guest,ee:94:f6:87:a8:31,13,-90
Sun Dec 10 19:02:00 IST 2017,,31.89739023902851,34.81646277900298,103.0,HaikuAndi,00:e0:20:6b:23:04,1,-87
Sun Dec 10 19:02:00 IST 2017,,31.89738438,34.81646064,103.0,NIPPON_2329,08:97:58:33:d0:56,2,-80
Sun Dec 10 19:02:00 IST 2017,,31.897380317295365,34.81646171487557,99.74983629430594,Virus,74:d0:2b:5e:8b:e8,6,-84
Sun Dec 10 19:02:00 IST 2017,,31.897384309999996,34.8164606,103.0,david,8c:59:c3:e8:d1:1a,1,-82
Sun Dec 10 19:03:00 IST 2017,,31.897376825492202,34.816452216391184,98.20959193125097,Haimon2,74:da:38:81:66:bd,2,-86
Sun Dec 10 19:03:00 IST 2017,,31.89737480393783,34.816449624496414,96.73232448406806,Yarden,c0:ac:54:f7:50:5a,6,-83
Sun Dec 10 19:03:00 IST 2017,,31.897378910855746,34.81643536380902,101.85083595184454,Nastya,7c:b7:33:2b:a7:c6,6,-82
Sun Dec 10 19:03:00 IST 2017,,31.89738387,34.81646063,103.0,HotSpot-B40016A2,02:c6:b4:00:16:a2,6,-82
Sun Dec 10 19:03:00 IST 2017,,31.897374007412665,34.81644899903459,96.38641187276963,Haimon2,74:da:38:81:66:bd,2,-81
Sun Dec 10 19:04:00 IST 2017,,31.897383160000004,34.81646055,103.0,sod-moriah-Adin_2.4,f8:e9:03:10:f1:89,6,-92
Sun Dec 10 19:04:00 IST 2017,,31.8973921925,34.8164639425,103.0,riva,14:ae:db:52:41:85,11,-90
Sun Dec 10 19:04:00 IST 2017,,31.8973827,34.81646046,103.0,Bezeq_18037,30:46:9a:2c:f5:2c,6,-83
Sun Dec 10 19:43:00 IST 2017,,31.89736717702651,34.81642598435948,103.48093861243818,Tuvia,ac:f1:df:9e:fa:61,13,-70
Sun Dec 10 19:43:00 IST 2017,,31.89735999195237,34.816419505846866,97.35591695253612,idolior_5GExt,64:d9:54:e5:68:e2,44,-73
Sun Dec 10 19:43:00 IST 2017,,31.897367758017396,34.81641299701061,103.70797184909159,Oxana25,14:ae:db:38:99:3d,6,-83
Sun Dec 10 19:43:00 IST 2017,,31.89734849,34.81638882,104.0,DIRECT-1E-HPDeskJet3830series,40:b0:34:60:e6:1f,6,-83
Sun Dec 10 19:43:00 IST 2017,,31.89734849,34.81638882,104.0,DIRECT-3F-HPDeskJet3830series,a0:8c:fd:01:eb:bb,11,-84
Sun Dec 10 19:43:00 IST 2017,,31.89736541431249,34.816392702972294,100.04674766632094,Xiaomi_C4D7_3B28,34:ce:00:4a:c4:d8,4,-87
Sun Dec 10 19:43:00 IST 2017,,31.89737543773426,34.816417514766705,101.04085692711503,BezeqFree,14:af:db:3c:7c:d2,5,-71
Sun Dec 10 19:43:00 IST 2017,,31.897375385625697,34.81641731792127,101.03312654406086,arye52,14:ae:db:3c:7c:d2,5,-73
Sun Dec 10 19:43:00 IST 2017,,31.897377224109526,34.81642677005778,101.45997252628952,Nastya,7c:b7:33:2b:a7:c6,6,-74
Sun Dec 10 19:43:00 IST 2017,,31.897383911495236,34.816408512651634,98.64003062187328,medina,8c:59:c3:e9:8e:02,2,-84
Sun Dec 10 19:43:00 IST 2017,,31.89737074,34.81639471999999,100.0,ana_5,6c:b0:ce:38:4e:4d,40,-88
Sun Dec 10 19:43:00 IST 2017,,31.89737709317073,34.81639586731708,98.04878048780488,medina,8c:59:c3:e9:8e:03,52,-90
Sun Dec 10 19:43:00 IST 2017,,31.897378420479686,34.81639610701537,97.6411303183007,arye52_5,14:ae:db:3c:7c:d5,48,-91
Sun Dec 10 19:43:00 IST 2017,,31.89737074,34.81639472,100.0,zenit,6c:b0:ce:35:a9:a0,1,-85
Sun Dec 10 19:43:00 IST 2017,,31.89737074,34.81639472,100.0,HOTFiber,e0:ce:c3:f0:08:8a,12,-86
Sun Dec 10 19:43:00 IST 2017,,31.89737842560594,34.816396107941124,97.63955591592341,zenit_5,6c:b0:ce:35:a9:a1,60,-92
Sun Dec 10 19:43:00 IST 2017,,31.89737074,34.81639472,100.0,BEZEQINT-0611,14:ae:db:56:06:15,11,-90
Sun Dec 10 19:43:00 IST 2017,,31.897378190574173,34.81639606549681,97.71174011879445,Bezeq-B,9c:d6:43:21:d3:ef,6,-86
Sun Dec 10 19:43:00 IST 2017,,31.897380501653167,34.816418117484076,93.11335836981365,edimaxEXT.setupa0,74:da:38:83:03:a0,2,-77
Sun Dec 10 19:43:00 IST 2017,,31.897374904616328,34.816394880348,97.82996244527953,Xiaomi_C4D7_3B28,34:ce:00:4a:c4:d8,4,-77
Sun Dec 10 19:43:00 IST 2017,,31.8973790202036,34.816435647902715,101.86438395600075,Nastya,7c:b7:33:2b:a7:c6,6,-69
Sun Dec 10 19:43:00 IST 2017,,31.897388268648093,34.81641307528407,98.190150456282,medina,8c:59:c3:e9:8e:02,2,-75
Sun Dec 10 19:43:00 IST 2017,,31.897380967055323,34.81639656690066,96.85901249256396,medina,8c:59:c3:e9:8e:03,52,-72
Sun Dec 10 19:43:00 IST 2017,,31.897382477509236,34.81639683967304,96.39511387164943,arye52_5,14:ae:db:3c:7c:d5,48,-86
Sun Dec 10 19:43:00 IST 2017,,31.897382482923266,34.81639684065076,96.39345108665727,zenit_5,6c:b0:ce:35:a9:a1,60,-87
Sun Dec 10 19:43:00 IST 2017,,31.89738223137835,34.81639679522434,96.47070689437587,Bezeq-B,9c:d6:43:21:d3:ef,6,-79
Sun Dec 10 19:43:00 IST 2017,,31.897386072060716,34.816419697832806,97.80870897671376,idolior_2GExt,64:d9:54:e5:68:e3,1,-68
Sun Dec 10 19:43:00 IST 2017,,31.897387019999996,34.81639766,95.0,Ortal123,40:65:a3:29:81:73,6,-75
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,HOTFiber-5B60,d0:84:b0:ff:53:09,10,-76
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,DIRECT-48-HPDeskJet4670series,70:5a:0f:b2:b5:49,1,-80
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,idolior,74:88:8b:fd:6d:08,1,-81
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,Daniel_Zohar,a0:ab:1b:55:6f:98,4,-81
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,aimog_5,10:5a:f7:01:8a:5a,52,-85
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766000001,95.0,DanArie_5,14:ae:db:ca:7e:dd,48,-87
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,soneva5,3c:1e:04:08:85:25,48,-91
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,BezeqNGN_007020_5GHz_1,70:62:b8:34:82:2e,48,-77
Sun Dec 10 19:43:00 IST 2017,,31.897387019999996,34.81639766,95.0,BezeqNGN_008702_5GHz_1,f8:e9:03:11:bc:0a,48,-82
Sun Dec 10 19:43:00 IST 2017,,31.89738702,34.81639766,95.0,edimaxEXT.setup5Ga1,74:da:38:83:03:a1,52,-91
Sun Dec 10 19:43:00 IST 2017,,31.897363311056946,34.81642836082482,95.43864189107866,idolior_5GExt,64:d9:54:e5:68:e2,44,-67
Sun Dec 10 19:43:00 IST 2017,,31.897388597932927,34.816417140496114,99.03143485930994,medina,8c:59:c3:e9:8e:02,2,-70
Sun Dec 10 19:43:00 IST 2017,,31.89737160006463,34.816445839290886,94.58832445282246,Yarden,c0:ac:54:f7:50:5a,6,-73
Sun Dec 10 19:43:00 IST 2017,,31.897370772124468,34.81644509242707,94.15352185564625,Haimon2,74:da:38:81:66:bd,2,-74
Sun Dec 10 19:43:00 IST 2017,,31.89735872,34.81643079,86.0,SuperBox2013,00:90:8f:2a:6d:34,6,-81
Sun Dec 10 19:43:00 IST 2017,,31.89735872,34.81643079,86.0,Hila2704,14:ae:db:b1:c3:dd,6,-82
Sun Dec 10 19:43:00 IST 2017,,31.897378167588066,34.81644451473012,91.38100581329525,DAP-1325,78:32:1b:07:7c:2c,9,-82
Sun Dec 10 19:43:00 IST 2017,,31.89735872,34.81643079,86.0,,62:45:b1:25:c9:04,36,-77
