Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1509956627239,40:a5:ef:94:c0:f2,-88,NETCOM_ziad,35.20222877,32.10022667,20,[WPS][ESS],,-5540
1509956651229,40:a5:ef:94:c0:f9,-88,,35.20238551,32.10017509,12,[WPA2-PSK-CCMP][ESS],,-5540
1509956661241,44:d1:fa:07:8e:69,-91,Wireless 2.4G,35.20233811,32.10016749,10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],,112462
1509956811000,48:ee:0c:3e:ec:65,-93,eran_0206,35.20262148,32.10013484,9,[WPA2-PSK-CCMP][ESS][BLE],,112462
1509970665000,5a:be:f5:3d:df:c7,-77,BezeqFree,35.20256632,32.10008625,8,[WPA2-PSK-CCMP][ESS][BLE],,92452
1509956789000,60:e3:27:99:1a:e0,-82,Aviran- 2.4G,35.20264598,32.10018636,51,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,102457
1509956622240,60:e3:27:b7:38:7e,-91,HOTBOX-F4D2,35.20215306,32.10007668,16,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],,82447
1510041200000,62:ab:1b:60:b4:cb,-84,Bezeq Free,35.20931612,32.10250265,23,[WPA2-PSK-CCMP][ESS][BLE],,52432
1509956702238,62:ff:d4:7a:e6:0c,-87,Bezeq Free,35.20247652,32.10013295,12,[ESS][BLE],,12412
1509956806000,64:09:80:69:c6:d8,-77,AIR-NET,35.2026215,32.10012313,8,[WPA2-PSK-CCMP][WPS][ESS][BLE],,32422
1510043756171,64:66:b3:64:0b:8b,-86,TP-LINK_AP_640B8B,35.2092373,32.10313244,9,[WPS][ESS],,52432
1509956822000,64:66:b3:f3:ed:2a,-81,tikva,35.20263037,32.10013477,11,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,62437
1509956607243,68:72:51:24:56:94,-79,ZARA,35.20252519,32.10011197,16,[ESS],,72442
