Time,Device ID,WCenter Lat,WCenter Lon,WCenter Alt,SSID,MAC,Ferquency,Signal
"",Device ID: LMY47V
Fri Dec 01 10:44:00 IST 2017,,34.81060785,32.16872739,38.0,kaymeraQA,00:f6:63:15:58:80,model=Lenovo,-82
Fri Dec 01 10:45:00 IST 2017,,34.811431718218316,32.1688052392618,35.40337896527467,LRWN,0c:f4:d5:29:a2:9c,PB2-690Y_device=PB2PRO,-91
Fri Dec 01 10:45:00 IST 2017,,34.8107842332903,32.16871182208617,38.46326223304439,A-Home,00:25:86:b1:6f:f8,model=SM-G950F_device=dreamlte,-81
Fri Dec 01 10:45:00 IST 2017,,34.81164041,32.16877222,36.0,LRWN,ec:8c:a2:08:a4:5c,model=Lenovo,-69
Fri Dec 01 10:45:00 IST 2017,,34.81178747,32.1688461,28.29109854,LRWN,ec:8c:a2:09:dd:4c,PB2-690Y_device=PB2PRO,-70
Fri Dec 01 10:45:00 IST 2017,,34.81188912,32.16898017,37.0,SE-WiFi-Employees,70:4c:a5:20:be:18,model=SM-G950F_device=dreamlte,-94
Fri Dec 01 10:45:00 IST 2017,,34.81209444,32.16940316,40.0,Einav_1,00:26:5a:10:b7:0a,model=Lenovo,-82
Fri Dec 01 10:45:00 IST 2017,,34.81245844110614,32.16958247747079,30.970480454753726,nina,20:0c:c8:2b:2a:14,PB2-690Y_device=PB2PRO,-68
Fri Dec 01 10:45:00 IST 2017,,34.81245844110614,32.16958247747079,30.970480454753726,nina,20:0c:c8:2b:2a:14,model=Lenovo,-73
Fri Dec 01 10:45:00 IST 2017,,34.81242013491674,32.16969940149049,28.686661072801808,arama,80:1f:02:36:04:d0,PB2-690Y_device=PB2PRO,-81
Fri Dec 01 10:45:00 IST 2017,,34.81225463,32.16977119,40.0,mazia,14:ae:db:b2:5f:05,model=SM-G950F_device=dreamlte,-87
Fri Dec 01 10:45:00 IST 2017,,34.81233913,32.16994827,41.0,TUCHLER,00:26:5a:69:94:e3,model=Lenovo,-81
